,id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,mass,planet_radius,orbital_radius,orbital_period,eccentricity
1375,1375,K2-252 b,746.0,3.68 Earths,12.93,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6338/k2-252-b/,Super Earth,3.68 Earths,1.74 x Earth,0.1041 AU,13.8 days,0.0
1376,1376,K2-253 b,2859.0,Unknown,15.002,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6339/k2-253-b/,Gas Giant,Unknown,1.13 x Jupiter,0.0506 AU,4 days,0.0
1377,1377,K2-254 b,743.0,3.29 Earths,14.238,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6340/k2-254-b/,Super Earth,3.29 Earths,1.63 x Earth,0.0448 AU,4.1 days,0.0
1378,1378,K2-254 c,743.0,5.43 Earths,14.238,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6341/k2-254-c/,Neptune-like,5.43 Earths,2.19 x Earth,0.0923 AU,12.1 days,0.0
1379,1379,K2-255 b,625.0,8.75 Earths,13.662,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6342/k2-255-b/,Neptune-like,8.75 Earths,0.259 x Jupiter,0.0274 AU,2 days,0.0
1380,1380,K2-256 b,1842.0,7.41 Earths,14.954,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6343/k2-256-b/,Neptune-like,7.41 Earths,0.235 x Jupiter,0.0578 AU,5.5 days,0.0
1381,1381,K2-257 b,209.0,0.498 Earths,13.716,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6344/k2-257-b/,Terrestrial,0.498 Earths,0.83 x Earth,0.0216 AU,1.6 days,0.0
1382,1382,K2-258 b,2159.0,9.27 Earths,13.361,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6345/k2-258-b/,Neptune-like,9.27 Earths,0.268 x Jupiter,0.149 AU,19.1 days,0.0
1383,1383,K2-259 b,1358.0,5.99 Earths,12.511,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6346/k2-259-b/,Neptune-like,5.99 Earths,0.207 x Jupiter,0.1271 AU,15.5 days,0.0
1384,1384,K2-25 b,147.0,24.5 Earths,16.21,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4264/k2-25-b/,Neptune-like,24.5 Earths,0.306 x Jupiter,0.0287 AU,3.5 days,0.43
1385,1385,K2-260 b,2165.0,1.42 Jupiters,12.624,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6352/k2-260-b/,Gas Giant,1.42 Jupiters,1.552 x Jupiter,0.0404 AU,2.6 days,0.0
1386,1386,K2-261 b,696.0,0.188 Jupiters,10.612,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6353/k2-261-b/,Gas Giant,0.188 Jupiters,0.85 x Jupiter,0.1034 AU,11.6 days,0.29
1387,1387,K2-263 b,530.0,14.8 Earths,11.568,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6364/k2-263-b/,Super Earth,14.8 Earths,0.215 x Jupiter,0.2573 AU,50.8 days,< 0.14
1388,1388,K2-264 b,605.0,5.61 Earths,16.701,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6365/k2-264-b/,Neptune-like,5.61 Earths,2.231 x Earth,0.05023 AU,5.8 days,< 0.5
1389,1389,K2-264 c,605.0,7.6 Earths,16.701,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6366/k2-264-c/,Neptune-like,7.6 Earths,0.238 x Jupiter,0.11283 AU,19.7 days,< 0.45
1390,1390,K2-265 b,452.0,6.54 Earths,11.187,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6385/k2-265-b/,Super Earth,6.54 Earths,1.71 x Earth,0.03376 AU,2.4 days,0.08
1391,1391,K2-266 b,253.0,11.26782 Earths,11.625,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6401/k2-266-b/,Neptune-like,11.26782 Earths,0.294 x Jupiter,0.01306 AU,0.7 days,0.0
1392,1392,K2-266 c,253.0,0.29013 Earths,11.625,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6402/k2-266-c/,Terrestrial,0.29013 Earths,0.705 x Earth,0.0679 AU,7.8 days,0.04
1393,1393,K2-266 d,253.0,8.9 Earths,11.625,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6403/k2-266-d/,Neptune-like,8.9 Earths,0.261 x Jupiter,0.1035 AU,14.7 days,0.05
1394,1394,K2-266 e,253.0,14.3 Earths,11.625,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6368/k2-266-e/,Neptune-like,14.3 Earths,0.244 x Jupiter,0.1249 AU,19.5 days,0.04
1395,1395,K2-268 b,1069.0,2.86 Earths,13.848,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6386/k2-268-b/,Super Earth,2.86 Earths,1.5 x Earth,0.0308 AU,2.2 days,0.0
1396,1396,K2-268 c,1069.0,7.7 Earths,13.848,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6387/k2-268-c/,Neptune-like,7.7 Earths,0.24 x Jupiter,0.0819 AU,9.3 days,0.0
1397,1397,K2-268 d,1069.0,2.83 Earths,13.848,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7960/k2-268-d/,Super Earth,2.83 Earths,1.49 x Earth,Unknown,4.5 days,0.0
1398,1398,K2-268 e,1069.0,2.33 Earths,13.848,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7962/k2-268-e/,Super Earth,2.33 Earths,1.33 x Earth,Unknown,6.1 days,0.0
1399,1399,K2-268 f,1069.0,5.6 Earths,13.848,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7961/k2-268-f/,Neptune-like,5.6 Earths,2.23 x Earth,Unknown,26.3 days,0.0
1400,1400,K2-269 b,1177.0,3.09 Earths,11.784,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6388/k2-269-b/,Super Earth,3.09 Earths,1.57 x Earth,0.0531 AU,4.1 days,0.0
1401,1401,K2-26 b,323.0,7.61 Earths,14.528,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5982/k2-26-b/,Neptune-like,7.61 Earths,0.238 x Jupiter,0.0962 AU,14.6 days,0.0
1402,1402,K2-270 b,915.0,2.48 Earths,13.847,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6389/k2-270-b/,Super Earth,2.48 Earths,1.38 x Earth,0.0247 AU,1.5 days,0.0
1403,1403,K2-270 c,915.0,9.01 Earths,13.847,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6379/k2-270-c/,Neptune-like,9.01 Earths,0.263 x Jupiter,0.0497 AU,4.4 days,0.0
1404,1404,K2-271 b,1841.0,0.131 Jupiters,13.845,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6380/k2-271-b/,Gas Giant,0.131 Jupiters,0.649 x Jupiter,0.077 AU,8.6 days,0.0
1405,1405,K2-272 b,1380.0,9.96 Earths,13.872,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6381/k2-272-b/,Neptune-like,9.96 Earths,0.279 x Jupiter,0.1007 AU,14.5 days,0.0
1406,1406,K2-273 b,1005.0,9.53 Earths,13.246,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6382/k2-273-b/,Neptune-like,9.53 Earths,0.272 x Jupiter,0.0729 AU,11.7 days,0.0
1407,1407,K2-274 b,745.0,4.98 Earths,13.181,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6383/k2-274-b/,Super Earth,4.98 Earths,2.08 x Earth,0.0964 AU,14.1 days,0.0
1408,1408,K2-275 b,403.0,6.08 Earths,11.974,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6384/k2-275-b/,Neptune-like,6.08 Earths,0.209 x Jupiter,0.0277 AU,3.3 days,0.0
1409,1409,K2-275 c,403.0,5.52 Earths,11.974,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6398/k2-275-c/,Neptune-like,5.52 Earths,2.21 x Earth,0.0881 AU,8.4 days,0.0
1410,1410,K2-276 b,1592.0,13.7 Earths,14.654,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6390/k2-276-b/,Neptune-like,13.7 Earths,0.336 x Jupiter,0.1291 AU,18.7 days,0.0
1411,1411,K2-277 b,369.0,4.94 Earths,10.364,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6391/k2-277-b/,Super Earth,4.94 Earths,2.07 x Earth,0.0675 AU,6.3 days,0.0
1412,1412,K2-278 b,2565.0,9.17 Earths,13.446,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6392/k2-278-b/,Neptune-like,9.17 Earths,0.266 x Jupiter,0.0488 AU,3.3 days,0.0
1413,1413,K2-279 b,597.0,1.92 Earths,11.491,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6393/k2-279-b/,Super Earth,1.92 Earths,1.21 x Earth,0.067 AU,7.1 days,0.0
1414,1414,K2-27 b,814.0,30.9 Earths,12.689,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4892/k2-27-b/,Neptune-like,30.9 Earths,0.4 x Jupiter,0.06702 AU,6.8 days,0.25
1415,1415,K2-280 b,1277.0,37.1 Earths,12.524,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6394/k2-280-b/,Neptune-like,37.1 Earths,0.669 x Jupiter,0.1461 AU,19.9 days,0.35
1416,1416,K2-281 b,1494.0,0.16 Jupiters,15.048,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6395/k2-281-b/,Gas Giant,0.16 Jupiters,0.73 x Jupiter,0.0773 AU,8.7 days,0.0
1417,1417,K2-282 b,1619.0,6.8 Earths,14.21,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6396/k2-282-b/,Neptune-like,6.8 Earths,0.223 x Jupiter,0.0499 AU,4.2 days,0.0
1418,1418,K2-283 b,1314.0,12.2 Earths,14.364,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6397/k2-283-b/,Neptune-like,12.2 Earths,0.314 x Jupiter,0.0291 AU,1.9 days,0.0
1419,1419,K2-284 b,350.0,8.15 Earths,13.265,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6415/k2-284-b/,Neptune-like,8.15 Earths,0.248 x Jupiter,0.04771 AU,4.8 days,0.08
1420,1420,K2-285 b,505.0,9.68 Earths,12.075,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6443/k2-285-b/,Super Earth,9.68 Earths,0.231 x Jupiter,0.03817 AU,3.5 days,0.0
1421,1421,K2-285 c,505.0,15.68 Earths,12.075,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6444/k2-285-c/,Neptune-like,15.68 Earths,0.315 x Jupiter,0.0824 AU,7.1 days,0.0
1422,1422,K2-285 d,505.0,6.5 Earths,12.075,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6445/k2-285-d/,Neptune-like,6.5 Earths,0.221 x Jupiter,0.1178 AU,10.5 days,0.0
1423,1423,K2-285 e,505.0,10.7 Earths,12.075,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6446/k2-285-e/,Neptune-like,10.7 Earths,1.95 x Earth,0.18041 AU,14.8 days,0.0
1424,1424,K2-286 b,248.0,5.06 Earths,12.881,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6447/k2-286-b/,Neptune-like,5.06 Earths,2.1 x Earth,0.1768 AU,27.4 days,0.0
1425,1425,K2-287 b,516.0,0.315 Jupiters,11.41,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6449/k2-287-b/,Gas Giant,0.315 Jupiters,0.847 x Jupiter,0.1206 AU,14.9 days,0.48
1426,1426,K2-288 B b,214.0,4.27 Earths,13.868,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7289/k2-288-b-b/,Super Earth,4.27 Earths,1.9 x Earth,0.164 AU,31.4 days,0.0
1427,1427,K2-289 b,895.0,0.192 Jupiters,14.81,2019,https://exoplanets.nasa.gov/exoplanet-catalog/6468/k2-289-b/,Gas Giant,0.192 Jupiters,0.812 x Jupiter,0.107 AU,13.2 days,0.0
1428,1428,K2-28 b,205.0,5.99 Earths,16.526,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4665/k2-28-b/,Neptune-like,5.99 Earths,0.207 x Jupiter,0.0214 AU,2.3 days,0.0
1429,1429,K2-290 b,890.0,10.9 Earths,11.114,2019,https://exoplanets.nasa.gov/exoplanet-catalog/6463/k2-290-b/,Super Earth,10.9 Earths,0.273 x Jupiter,0.0923 AU,9.2 days,0.0
1430,1430,K2-290 c,890.0,0.774 Jupiters,11.114,2019,https://exoplanets.nasa.gov/exoplanet-catalog/6464/k2-290-c/,Gas Giant,0.774 Jupiters,1.006 x Jupiter,0.305 AU,48.4 days,0.0
1431,1431,K2-291 b,294.0,6.49 Earths,10.014,2019,https://exoplanets.nasa.gov/exoplanet-catalog/6465/k2-291-b/,Super Earth,6.49 Earths,1.589 x Earth,0.03261 AU,2.2 days,0.0
1432,1432,K2-292 b,373.0,24.5 Earths,9.885,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7621/k2-292-b/,Neptune-like,24.5 Earths,0.235 x Jupiter,0.13 AU,17 days,0.04
1433,1433,K2-293 b,1280.0,6.57 Earths,13.44,2019,https://exoplanets.nasa.gov/exoplanet-catalog/6514/k2-293-b/,Neptune-like,6.57 Earths,0.219 x Jupiter,Unknown,13.1 days,0.0
1434,1434,K2-294 b,1217.0,3.39 Earths,12.649,2019,https://exoplanets.nasa.gov/exoplanet-catalog/6515/k2-294-b/,Super Earth,3.39 Earths,1.66 x Earth,Unknown,2.5 days,0.0
1435,1435,K2-295 b,759.0,0.335 Jupiters,13.8941,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7389/k2-295-b/,Gas Giant,0.335 Jupiters,0.897 x Jupiter,0.0451 AU,4 days,0.0
1436,1436,K2-29 b,582.0,0.73 Jupiters,12.532,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4335/k2-29-b/,Gas Giant,0.73 Jupiters,1.19 x Jupiter,0.04217 AU,3.3 days,0.07
1437,1437,K2-308 b,4288.0,0.222 Jupiters,15.072,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7473/k2-308-b/,Gas Giant,0.222 Jupiters,0.884 x Jupiter,Unknown,3.4 days,0.0
1438,1438,K2-30 b,1086.0,0.579 Jupiters,13.547,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5213/k2-30-b/,Gas Giant,0.579 Jupiters,1.039 x Jupiter,0.04839 AU,4.1 days,0.0
1439,1439,K2-315 b,186.0,0.809 Earths,17.67,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7666/k2-315-b/,Terrestrial,0.809 Earths,0.95 x Earth,Unknown,3.1 days,0.0
1440,1440,K2-316 b,367.0,2.33 Earths,17.14,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7682/k2-316-b/,Super Earth,2.33 Earths,1.33 x Earth,0.0147 AU,1.1 days,0.0
1441,1441,K2-316 c,367.0,4.01 Earths,17.14,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7683/k2-316-c/,Super Earth,4.01 Earths,1.83 x Earth,0.0582 AU,5.3 days,0.0
1442,1442,K2-317 b,575.0,8.91 Earths,17.74,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7684/k2-317-b/,Neptune-like,8.91 Earths,0.261 x Jupiter,0.0542 AU,6.2 days,0.0
1443,1443,K2-318 b,482.0,3.39 Earths,15.8,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7685/k2-318-b/,Super Earth,3.39 Earths,1.66 x Earth,0.0911 AU,7 days,0.0
1444,1444,K2-319 b,682.0,8.2 Earths,12.213,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7686/k2-319-b/,Neptune-like,8.2 Earths,0.249 x Jupiter,0.1516 AU,26.7 days,0.0
1445,1445,K2-31 b,361.0,1.774 Jupiters,10.802,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4667/k2-31-b/,Gas Giant,1.774 Jupiters,1.06 x Jupiter,0.022 AU,1.3 days,0.0
1446,1446,K2-320 b,355.0,7.37 Earths,17.81,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7687/k2-320-b/,Neptune-like,7.37 Earths,0.234 x Jupiter,0.0142 AU,2 days,0.0
1447,1447,K2-321 b,253.0,4.46 Earths,13.677,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7688/k2-321-b/,Super Earth,4.46 Earths,1.95 x Earth,0.041 AU,2.3 days,0.0
1448,1448,K2-322 b,403.0,4.35 Earths,13.963,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7689/k2-322-b/,Super Earth,4.35 Earths,1.92 x Earth,0.0594 AU,8.2 days,0.0
1449,1449,K2-323 b,386.0,5.06 Earths,14.935,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7690/k2-323-b/,Neptune-like,5.06 Earths,2.1 x Earth,0.1275 AU,24.9 days,0.0
1450,1450,K2-324 b,446.0,6.48 Earths,15.223,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7691/k2-324-b/,Neptune-like,6.48 Earths,0.217 x Jupiter,0.0331 AU,3.3 days,0.0
1451,1451,K2-325 b,364.0,5.48 Earths,17.77,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7692/k2-325-b/,Neptune-like,5.48 Earths,2.2 x Earth,0.0419 AU,6.9 days,0.0
1452,1452,K2-326 b,921.0,5.82 Earths,15.982,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7693/k2-326-b/,Neptune-like,5.82 Earths,0.203 x Jupiter,0.0198 AU,1.3 days,0.0
1453,1453,K2-329 b,761.0,0.26 Jupiters,12.697,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7810/k2-329-b/,Gas Giant,0.26 Jupiters,0.774 x Jupiter,0.1016 AU,12.5 days,0.07
1454,1454,K2-32 b,514.0,15 Earths,12.304,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4668/k2-32-b/,Neptune-like,15 Earths,0.473 x Jupiter,0.0795 AU,9 days,0.03
1455,1455,K2-32 c,514.0,8.1 Earths,12.304,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4670/k2-32-c/,Neptune-like,8.1 Earths,0.28 x Jupiter,0.13843 AU,20.7 days,0.05
1456,1456,K2-32 d,514.0,6.7 Earths,12.304,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4669/k2-32-d/,Neptune-like,6.7 Earths,0.311 x Jupiter,0.18422 AU,31.7 days,0.05
1457,1457,K2-32 e,514.0,2.1 Earths,12.304,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7410/k2-32-e/,Super Earth,2.1 Earths,1.212 x Earth,0.04899 AU,4.3 days,0.04
1458,1458,K2-330 b,522.0,8.1 Earths,9.608,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7971/k2-330-b/,Neptune-like,8.1 Earths,0.247 x Jupiter,Unknown,13.8 days,0.0
1459,1459,K2-331 b,690.0,3.86 Earths,11.305,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7966/k2-331-b/,Super Earth,3.86 Earths,1.79 x Earth,Unknown,9.4 days,0.0
1460,1460,K2-331 c,690.0,7.85 Earths,11.305,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7948/k2-331-c/,Neptune-like,7.85 Earths,0.243 x Jupiter,Unknown,23 days,0.0
1461,1461,K2-332 b,402.0,5.48 Earths,16.4791,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7972/k2-332-b/,Neptune-like,5.48 Earths,2.2 x Earth,Unknown,17.7 days,0.0
1462,1462,K2-333 b,1122.0,31.6 Earths,12.073,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7949/k2-333-b/,Neptune-like,31.6 Earths,0.551 x Jupiter,Unknown,14.8 days,0.0
1463,1463,K2-334 b,1213.0,27.2 Earths,11.842,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7950/k2-334-b/,Neptune-like,27.2 Earths,0.504 x Jupiter,Unknown,5.1 days,0.0
1464,1464,K2-335 b,1820.0,5.52 Earths,12.556,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7973/k2-335-b/,Neptune-like,5.52 Earths,2.21 x Earth,Unknown,12.3 days,0.0
1465,1465,K2-336 b,781.0,1.98 Earths,12.803,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7974/k2-336-b/,Super Earth,1.98 Earths,1.22 x Earth,Unknown,21.2 days,0.0
1466,1466,K2-337 b,1375.0,7.37 Earths,12.385,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7975/k2-337-b/,Neptune-like,7.37 Earths,0.234 x Jupiter,Unknown,16.3 days,0.0
1467,1467,K2-338 b,512.0,1.08 Earths,13.322,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7976/k2-338-b/,Super Earth,1.08 Earths,1.03 x Earth,Unknown,3.9 days,0.0
1468,1468,K2-339 b,1175.0,4.35 Earths,14.487,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7958/k2-339-b/,Super Earth,4.35 Earths,1.92 x Earth,Unknown,19.5 days,0.0
1469,1469,K2-33 b,454.0,3.7 Jupiters,15.838,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3283/k2-33-b/,Neptune-like,3.7 Jupiters,0.45 x Jupiter,0.0409 AU,5.4 days,0.0
1470,1470,K2-340 b,2408.0,11.2 Earths,14.428,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7977/k2-340-b/,Neptune-like,11.2 Earths,0.3 x Jupiter,Unknown,29.7 days,0.0
1471,1471,K2-341 b,1375.0,10.4 Earths,12.725,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7947/k2-341-b/,Neptune-like,10.4 Earths,0.286 x Jupiter,Unknown,36.6 days,0.0
1472,1472,K2-342 b,680.0,4.78 Earths,11.338,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7951/k2-342-b/,Super Earth,4.78 Earths,2.03 x Earth,Unknown,11.6 days,0.0
1473,1473,K2-343 b,542.0,3.36 Earths,16.01,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7959/k2-343-b/,Super Earth,3.36 Earths,1.65 x Earth,Unknown,2.8 days,0.0
1474,1474,K2-343 c,542.0,4.74 Earths,16.01,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7952/k2-343-c/,Super Earth,4.74 Earths,2.02 x Earth,Unknown,7.7 days,0.0
1475,1475,K2-344 b,245.0,3.15 Earths,13.423,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7953/k2-344-b/,Super Earth,3.15 Earths,1.59 x Earth,Unknown,3.4 days,0.0
1476,1476,K2-345 b,530.0,5.1 Earths,15.72,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7978/k2-345-b/,Neptune-like,5.1 Earths,2.11 x Earth,Unknown,10.4 days,0.0
1477,1477,K2-346 b,344.0,5.73 Earths,11.903,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7979/k2-346-b/,Neptune-like,5.73 Earths,0.202 x Jupiter,Unknown,26.2 days,0.0
1478,1478,K2-347 b,1045.0,6.39 Earths,15.15,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7980/k2-347-b/,Neptune-like,6.39 Earths,0.215 x Jupiter,Unknown,7.2 days,0.0
1479,1479,K2-348 b,658.0,10.7 Earths,12.572,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7954/k2-348-b/,Neptune-like,10.7 Earths,0.291 x Jupiter,Unknown,4.7 days,0.0
1480,1480,K2-348 c,658.0,7.61 Earths,12.572,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7955/k2-348-c/,Neptune-like,7.61 Earths,0.238 x Jupiter,Unknown,12.6 days,0.0
1481,1481,K2-349 b,1480.0,2.48 Earths,14.585,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7982/k2-349-b/,Super Earth,2.48 Earths,1.38 x Earth,Unknown,9 days,0.0
1482,1482,K2-34 b,1137.0,1.698 Jupiters,11.447,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5503/k2-34-b/,Gas Giant,1.698 Jupiters,1.227 x Jupiter,0.0442 AU,3 days,0.0
1483,1483,K2-350 b,1596.0,2.99 Earths,13.449,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7967/k2-350-b/,Super Earth,2.99 Earths,1.54 x Earth,Unknown,4.2 days,0.0
1484,1484,K2-350 c,1596.0,7.95 Earths,13.449,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7983/k2-350-c/,Neptune-like,7.95 Earths,0.244 x Jupiter,Unknown,20 days,0.0
1485,1485,K2-351 b,2266.0,6.99 Earths,14.195,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7984/k2-351-b/,Neptune-like,6.99 Earths,0.227 x Jupiter,Unknown,7.8 days,0.0
1486,1486,K2-352 b,574.0,2.45 Earths,11.125,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7968/k2-352-b/,Super Earth,2.45 Earths,1.37 x Earth,Unknown,3.7 days,0.0
1487,1487,K2-352 c,574.0,4.35 Earths,11.125,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7956/k2-352-c/,Super Earth,4.35 Earths,1.92 x Earth,Unknown,8.2 days,0.0
1488,1488,K2-352 d,574.0,5.6 Earths,11.125,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7957/k2-352-d/,Neptune-like,5.6 Earths,2.23 x Earth,Unknown,14.9 days,0.0
1489,1489,K2-353 b,876.0,26.3 Earths,12.337,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7969/k2-353-b/,Neptune-like,26.3 Earths,0.495 x Jupiter,Unknown,15.5 days,0.0
1490,1490,K2-354 b,299.0,3.05 Earths,15.296,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7970/k2-354-b/,Super Earth,3.05 Earths,1.56 x Earth,Unknown,3.8 days,0.0
1491,1491,K2-355 b,1633.0,5.69 Earths,13.707,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7994/k2-355-b/,Neptune-like,5.69 Earths,0.201 x Jupiter,0.0632 AU,5.7 days,0.0
1492,1492,K2-356 b,1160.0,5.86 Earths,13.268,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7993/k2-356-b/,Neptune-like,5.86 Earths,0.204 x Jupiter,0.1599 AU,21 days,0.0
1493,1493,K2-357 b,1689.0,13.4 Earths,13.748,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7992/k2-357-b/,Neptune-like,13.4 Earths,0.332 x Jupiter,0.145 AU,16.3 days,0.0
1494,1494,K2-358 b,1567.0,7.65 Earths,13.699,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7991/k2-358-b/,Neptune-like,7.65 Earths,0.239 x Jupiter,0.0863 AU,11.3 days,0.0
1495,1495,K2-35 b,824.0,2.3 Earths,14.166,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3288/k2-35-b/,Super Earth,2.3 Earths,1.32 x Earth,0.031 AU,2.4 days,0.13
1496,1496,K2-35 c,824.0,4.38 Earths,14.166,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3289/k2-35-c/,Super Earth,4.38 Earths,1.93 x Earth,0.055 AU,5.6 days,0.12
1497,1497,K2-365 b,611.0,8.78 Earths,11.372,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8469/k2-365-b/,Neptune-like,8.78 Earths,0.259 x Jupiter,Unknown,23.4 days,0.0
1498,1498,K2-366 b,607.0,6.16 Earths,12.636,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8470/k2-366-b/,Neptune-like,6.16 Earths,0.21 x Jupiter,Unknown,15.9 days,0.0
1499,1499,K2-367 b,577.0,6.41 Earths,13.794,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8471/k2-367-b/,Neptune-like,6.41 Earths,0.215 x Jupiter,Unknown,20.6 days,0.0
1500,1500,K2-368 b,674.0,2.34 Earths,13.581,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8472/k2-368-b/,Super Earth,2.34 Earths,1.332 x Earth,Unknown,5 days,0.0
