id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
802,Gas Giant,1998,1.3 Jupiters,1.22 x Jupiter,0.08 AU,7.1 days,0.13,
803,Gas Giant,2005,2.6 Jupiters,1.18 x Jupiter,5.32 AU,11.7 years,0.52,
804,Super Earth,2019,3.7 Earths,0.892 x Earth,0.0695 AU,7.8 days,0.0,
805,Gas Giant,2011,13 Jupiters,1.1 x Jupiter,2.38 AU,3.6 years,0.4,
806,Gas Giant,2018,21.6 Jupiters,1.08 x Jupiter,4.56 AU,9.6 years,0.76,
807,Gas Giant,2010,0.2 Jupiters,0.832 x Jupiter,0.69 AU,225.7 days,0.3,
808,Gas Giant,2012,10.39 Jupiters,1.11 x Jupiter,6.22 AU,15.1 years,0.77,
809,Super Earth,2015,4.74 Earths,1.602 x Earth,0.03876 AU,3.1 days,0.0,
810,Super Earth,2015,4.36 Earths,1.511 x Earth,0.0653 AU,6.8 days,0.06,
811,Super Earth,2015,16.17 Earths,1.61 x Earth,0.237 AU,46.9 days,0.14,
812,Super Earth,2015,7.3 Earths,1.31 x Earth,0.1463 AU,22.7 days,0.15,
813,Neptune-like,2015,10.80622 Earths,0.293 x Jupiter,0.3753 AU,94.2 days,0.0,
814,Gas Giant,2015,0.34 Jupiters,1.14 x Jupiter,3.11 AU,6.2 years,0.06,
815,Gas Giant,2021,0.78 Jupiters,1.24 x Jupiter,0.94 AU,275.5 days,0.11,
816,Gas Giant,2012,1 Jupiter,1.23 x Jupiter,3.2 AU,5.7 years,0.4,
817,Neptune-like,2018,16.6 Earths,0.42 x Jupiter,0.06356 AU,6 days,0.0,
818,Neptune-like,2007,20.97678 Earths,0.433 x Jupiter,0.0507 AU,3.8 days,0.1,
819,Gas Giant,2016,14.6 Jupiters,1.09 x Jupiter,5.79 AU,12.8 years,0.81,
820,Gas Giant,2012,16.64 Jupiters,1.09 x Jupiter,1.6 AU,1.8 years,0.14,
821,Gas Giant,2018,0.2 Jupiters,0.832 x Jupiter,2.729 AU,4.7 years,0.19,
822,Gas Giant,2012,1.118 Jupiters,1.23 x Jupiter,3.396 AU,6.2 years,0.05,
823,Gas Giant,2011,1.45 Jupiters,1.21 x Jupiter,4.94 AU,10.2 years,0.51,
824,Gas Giant,2016,3.18 Jupiters,1.17 x Jupiter,0.74 AU,218.5 days,0.4,
825,Gas Giant,2007,3.09 Jupiters,1.17 x Jupiter,1.25 AU,456.1 days,0.08,
826,Gas Giant,2019,0.19 Jupiters,0.836 x Jupiter,0.1228 AU,14.3 days,0.12,
827,Gas Giant,2019,22.9 Jupiters,1.07 x Jupiter,10.15 AU,27.6 years,0.14,
828,Gas Giant,2016,1.61 Jupiters,1.21 x Jupiter,2.306 AU,3.2 years,0.12,
829,Gas Giant,2016,1.56 Jupiters,1.21 x Jupiter,1.83 AU,2.4 years,0.08,
830,Gas Giant,2011,2.12 Jupiters,1.19 x Jupiter,5.14 AU,11 years,0.16,
831,Gas Giant,1999,8.37 Jupiters,1.12 x Jupiter,1.34 AU,1.6 years,0.73,
832,Gas Giant,2016,5.97 Jupiters,1.14 x Jupiter,2.28 AU,3.3 years,0.46,
833,Gas Giant,2006,0.7 Jupiters,1.25 x Jupiter,0.191 AU,26.7 days,0.1,
834,Neptune-like,2021,5.57 Earths,2.22 x Earth,0.051 AU,5.1 days,0.0,
835,Gas Giant,2022,2.12 Jupiters,1.19 x Jupiter,1.9 AU,2.4 years,0.03,
836,Gas Giant,2011,13.65 Jupiters,1.1 x Jupiter,1.167 AU,1.4 years,0.82,
837,Gas Giant,2001,2.61 Jupiters,1.18 x Jupiter,1.6 AU,2 years,0.1,
838,Gas Giant,2006,1.527 Jupiters,1.21 x Jupiter,2.37 AU,3.3 years,0.41,
839,Gas Giant,2007,1.13 Jupiters,1.22 x Jupiter,0.567 AU,141.6 days,0.13,
840,Gas Giant,2013,6.575 Jupiters,1.13 x Jupiter,0.747 AU,192 days,0.05,
841,Gas Giant,2018,1.78 Jupiters,1.2 x Jupiter,2.827 AU,5.6 years,0.36,
842,Super Earth,2019,17.92 Earths,1.872 x Earth,0.121 AU,17.7 days,0.0,
843,Super Earth,2019,17.18 Earths,2.149 x Earth,0.17 AU,29.6 days,0.0,
844,Gas Giant,2003,9.03 Jupiters,1.12 x Jupiter,2.77 AU,4.3 years,0.27,
845,Neptune-like,2020,6.89 Earths,0.225 x Jupiter,0.0932 AU,13.7 days,0.3,
846,Gas Giant,2018,6 Jupiters,1.14 x Jupiter,5.7 AU,11.2 years,0.56,
847,Gas Giant,2009,5.21 Jupiters,1.14 x Jupiter,1.16 AU,1.4 years,0.15,
848,Gas Giant,2011,15.89 Jupiters,1.09 x Jupiter,1.92 AU,2 years,0.4,
849,Gas Giant,2006,3.86 Jupiters,1.16 x Jupiter,4.92 AU,10 years,0.04,
850,Gas Giant,2021,0.201 Jupiters,0.834 x Jupiter,1.3 AU,1.4 years,0.11,
851,Gas Giant,2015,12.89 Jupiters,1.1 x Jupiter,1.29 AU,1.5 years,0.35,
852,Neptune-like,2019,11.8 Earths,0.309 x Jupiter,0.034 AU,2 days,0.22,
853,Gas Giant,2019,4.48 Jupiters,1.15 x Jupiter,6.19 AU,16.5 years,0.39,
854,Gas Giant,2010,0.915 Jupiters,1.24 x Jupiter,2.971 AU,4.9 years,0.04,
855,Gas Giant,2020,2.5 Jupiters,1.18 x Jupiter,1.49 AU,457 days,0.04,
856,Gas Giant,2021,13.5 Jupiters,1.1 x Jupiter,20.4 AU,87.7 years,0.82,
857,Gas Giant,2005,0.42 Jupiters,1.28 x Jupiter,0.04 AU,3.4 days,0.0,
858,Gas Giant,2019,1.17 Jupiters,1.44 x Jupiter,0.0568 AU,4.1 days,0.09,
859,Neptune-like,2018,8.47 Earths,0.254 x Jupiter,Unknown,42.4 days,0.04,
860,Gas Giant,2000,1.56 Jupiters,1.21 x Jupiter,1.271 AU,428.1 days,0.06,
861,Gas Giant,2012,1.494 Jupiters,1.21 x Jupiter,3.242 AU,6 years,0.14,
862,Gas Giant,2005,0.665 Jupiters,1.25 x Jupiter,0.125 AU,18 days,0.05,
863,Gas Giant,2017,0.162 Jupiters,0.735 x Jupiter,0.198 AU,36.1 days,0.02,
864,Gas Giant,2017,5.415 Jupiters,1.14 x Jupiter,5.448 AU,14.2 years,0.39,
865,Gas Giant,2021,4.8 Jupiters,1.15 x Jupiter,1.552 AU,1.8 years,0.18,
866,Gas Giant,2001,5.9 Jupiters,1.14 x Jupiter,1.02 AU,379 days,0.05,
867,Gas Giant,2010,1.16 Jupiters,1.22 x Jupiter,2.15 AU,3.1 years,0.81,
868,Gas Giant,2013,0.98 Jupiters,1.23 x Jupiter,0.06 AU,6.1 days,0.09,
869,Neptune-like,2008,8.4 Earths,0.253 x Jupiter,0.066 AU,8.8 days,0.0,
870,Gas Giant,2011,1.542 Jupiters,1.21 x Jupiter,1.18 AU,380.2 days,0.15,
871,Gas Giant,2017,2.4 Jupiters,1.18 x Jupiter,2.28 AU,3.7 years,0.46,
872,Gas Giant,2009,2.43 Jupiters,1.18 x Jupiter,3.43 AU,6.7 years,0.08,
873,Gas Giant,2022,1.57 Jupiters,1.21 x Jupiter,1.913 AU,2.4 years,0.05,
874,Gas Giant,2013,1.37 Jupiters,1.21 x Jupiter,1.23 AU,311.6 days,0.13,
875,Gas Giant,2002,8.622 Jupiters,1.12 x Jupiter,3.704 AU,6.9 years,0.16,
876,Gas Giant,2016,7.6 Jupiters,1.13 x Jupiter,9.89 AU,31.8 years,0.22,
877,Gas Giant,2009,1.22 Jupiters,1.22 x Jupiter,2.34 AU,3.2 years,0.76,
878,Gas Giant,2014,0.47 Jupiters,1.27 x Jupiter,2.69 AU,4.6 years,0.18,
879,Gas Giant,2011,1.547 Jupiters,1.21 x Jupiter,1.85 AU,2.3 years,0.06,
880,Gas Giant,2010,0.62 Jupiters,1.26 x Jupiter,1.26 AU,466 days,0.3,
881,Neptune-like,2019,10.47 Earths,0.288 x Jupiter,0.1254 AU,16.6 days,0.1,
882,Neptune-like,2019,14.16 Earths,0.343 x Jupiter,0.2663 AU,51.2 days,0.04,
883,Neptune-like,2019,11.82 Earths,0.309 x Jupiter,0.8098 AU,271.7 days,0.24,
884,Super Earth,2016,5.02 Earths,1.6 x Earth,0.01815 AU,1 days,0.0,
885,Neptune-like,2016,9.8 Earths,0.205 x Jupiter,0.1795 AU,29.9 days,0.05,
886,Neptune-like,2017,6.9 Earths,0.225 x Jupiter,0.07757 AU,8.5 days,0.36,
887,Gas Giant,2009,3.04 Jupiters,1.17 x Jupiter,0.59 AU,157.5 days,0.01,
888,Gas Giant,2015,0.7 Jupiters,1.25 x Jupiter,3.41 AU,6.5 years,0.07,
889,Gas Giant,2004,0.48 Jupiters,1.27 x Jupiter,0.04 AU,3.4 days,0.0,
890,Gas Giant,2021,1.5 Jupiters,1.21 x Jupiter,1.44 AU,1.7 years,0.59,
891,Gas Giant,2011,1.385 Jupiters,1.21 x Jupiter,1.07 AU,326 days,0.07,
892,Gas Giant,2018,5.97 Jupiters,1.14 x Jupiter,Unknown,2.3 years,0.05,
893,Gas Giant,2020,0.244 Jupiters,0.867 x Jupiter,0.1436 AU,18.7 days,0.03,
894,Gas Giant,2006,0.329 Jupiters,1.12 x Jupiter,0.1508 AU,18.2 days,0.4,
895,Gas Giant,2005,9.1 Jupiters,1.12 x Jupiter,1.1 AU,388 days,0.34,
896,Gas Giant,2015,2.01 Jupiters,1.19 x Jupiter,1.6 AU,1.5 years,0.15,
897,Gas Giant,2015,1.75 Jupiters,1.2 x Jupiter,2.24 AU,2.5 years,0.13,
898,Gas Giant,2009,0.82 Jupiters,1.24 x Jupiter,2.07 AU,2.9 years,0.27,
899,Gas Giant,2017,0.168 Jupiters,0.752 x Jupiter,0.7181 AU,214.7 days,0.04,
900,Neptune-like,2017,30.7 Earths,0.542 x Jupiter,0.4817 AU,117.9 days,0.03,
901,Neptune-like,2017,16.8 Earths,0.38 x Jupiter,0.2687 AU,49.2 days,0.09,
902,Neptune-like,2017,37.9 Earths,0.613 x Jupiter,1.543 AU,1.9 years,0.03,
903,Gas Giant,2017,0.38 Jupiters,1.21 x Jupiter,6.36 AU,15.6 years,0.03,
904,Gas Giant,2016,3.76 Jupiters,1.16 x Jupiter,0.389 AU,82.5 days,0.39,
905,Gas Giant,2021,0.75 Jupiters,1.25 x Jupiter,0.98 AU,273.1 days,0.14,
906,Gas Giant,2003,0.228 Jupiters,0.899 x Jupiter,0.295 AU,62.3 days,0.65,
907,Gas Giant,2002,0.675 Jupiters,1.25 x Jupiter,0.53364 AU,154.4 days,0.05,
908,Gas Giant,2002,0.652 Jupiters,1.25 x Jupiter,1.71 AU,2.4 years,0.13,
909,Gas Giant,2005,0.696 Jupiters,1.25 x Jupiter,2.807 AU,5.1 years,0.16,
910,Gas Giant,2004,2.69 Jupiters,1.18 x Jupiter,0.277 AU,55 days,0.67,
911,Gas Giant,2012,3.19 Jupiters,1.17 x Jupiter,3.74 AU,7.5 years,0.03,
912,Gas Giant,2021,0.173 Jupiters,0.764 x Jupiter,2.108 AU,3.3 years,0.3,
913,Gas Giant,2010,0.4 Jupiters,1.25 x Jupiter,1.02 AU,363.2 days,0.41,
914,Gas Giant,2000,0.797 Jupiters,1.24 x Jupiter,0.1294 AU,14.3 days,0.28,
915,Gas Giant,2000,12.99 Jupiters,1.1 x Jupiter,3.64 AU,5.9 years,0.34,
916,Gas Giant,2009,9.698 Jupiters,1.11 x Jupiter,1.623 AU,1.9 years,0.02,
917,Gas Giant,2001,12.9 Jupiters,1.1 x Jupiter,3.1 AU,5.7 years,0.64,
918,Super Earth,2021,4 Earths,1.83 x Earth,0.056 AU,5.6 days,< 0.207,
919,Neptune-like,2021,6.3 Earths,0.213 x Jupiter,0.103 AU,14 days,< 0.154,
920,Super Earth,2021,4 Earths,1.83 x Earth,0.185 AU,33.9 days,< 0.333,
921,Neptune-like,2019,8.5 Earths,0.254 x Jupiter,0.041 AU,3.2 days,0.14,
922,Super Earth,2009,4 Earths,1.83 x Earth,0.0468 AU,4.3 days,0.2,
923,Neptune-like,2009,6.6 Earths,0.219 x Jupiter,0.0799 AU,9.6 days,0.06,
924,Neptune-like,2009,9.5 Earths,0.272 x Jupiter,0.1321 AU,20.4 days,0.07,
925,Neptune-like,2013,5.2 Earths,2.13 x Earth,0.247 AU,51.8 days,0.02,
926,Neptune-like,2013,7.1 Earths,0.229 x Jupiter,0.6 AU,197.8 days,0.29,
927,Gas Giant,2017,2.7 Jupiters,1.18 x Jupiter,1.4 AU,1.6 years,0.24,
928,Gas Giant,2002,4.67 Jupiters,1.15 x Jupiter,0.85 AU,264.1 days,0.25,
929,Gas Giant,2004,2.54 Jupiters,1.18 x Jupiter,Unknown,2.6 years,0.74,
930,Gas Giant,2003,18.37 Jupiters,1.08 x Jupiter,Unknown,1.3 days,0.08,
931,Gas Giant,2007,1.56 Jupiters,1.21 x Jupiter,1.28 AU,1.4 years,0.9,
932,Gas Giant,2017,1.6 Jupiters,1.21 x Jupiter,1.67 AU,2.3 years,< 0.2,
933,Gas Giant,2001,2.23 Jupiters,1.19 x Jupiter,1.17 AU,431.9 days,0.52,
934,Gas Giant,2014,2.17 Jupiters,1.19 x Jupiter,6.95 AU,18.4 years,0.24,
935,Gas Giant,2001,0.81 Jupiters,1.24 x Jupiter,1.662 AU,2.3 years,0.04,
936,Neptune-like,2016,14.4 Earths,0.347 x Jupiter,0.554 AU,149.6 days,0.19,
937,Neptune-like,2005,15.8915 Earths,0.368 x Jupiter,0.12 AU,15.6 days,0.0,
938,Gas Giant,2009,1.927 Jupiters,1.2 x Jupiter,1.157 AU,356.2 days,0.15,
939,Gas Giant,2010,0.6 Jupiters,1.26 x Jupiter,0.92 AU,327.8 days,0.83,
940,Gas Giant,2007,2.55 Jupiters,1.18 x Jupiter,0.238 AU,37 days,0.08,
941,Gas Giant,2010,0.58 Jupiters,1.26 x Jupiter,1.19 AU,472.3 days,0.61,
942,Neptune-like,2019,12.19 Earths,0.314 x Jupiter,0.0644 AU,5.9 days,0.07,
943,Neptune-like,2019,8.81 Earths,0.26 x Jupiter,0.11 AU,13.1 days,0.07,
944,Gas Giant,2004,1.79 Jupiters,1.2 x Jupiter,1.92 AU,2.6 years,0.78,
945,Gas Giant,2008,0.1872 Jupiters,0.8 x Jupiter,0.6813 AU,226.9 days,0.17,
946,Gas Giant,2008,0.6579 Jupiters,1.25 x Jupiter,0.8972 AU,342.9 days,0.1,
947,Gas Giant,2008,0.433 Jupiters,1.28 x Jupiter,0.237 AU,44.1 days,0.61,
948,Gas Giant,2000,0.226 Jupiters,0.894 x Jupiter,0.0398 AU,3 days,0.06,
949,Neptune-like,2008,22.2481 Earths,0.448 x Jupiter,0.05 AU,4.1 days,0.04,
950,Gas Giant,2008,0.35061 Jupiters,1.16 x Jupiter,2.395 AU,3.7 years,0.25,
951,Gas Giant,2012,2.37 Jupiters,1.19 x Jupiter,1.19 AU,360.2 days,0.13,
952,Gas Giant,2012,2.37 Jupiters,1.19 x Jupiter,4.6 AU,7.5 years,0.23,
953,Gas Giant,2016,2.3 Jupiters,1.19 x Jupiter,1.28 AU,359.2 days,0.06,
954,Gas Giant,2016,1.88 Jupiters,1.2 x Jupiter,1.97 AU,1.9 years,0.1,
955,Gas Giant,2002,7.32 Jupiters,1.13 x Jupiter,1.93 AU,2 years,0.2,
956,Gas Giant,2021,13.9 Jupiters,1.1 x Jupiter,1.14 AU,434 days,0.23,
957,Gas Giant,2008,1.525 Jupiters,1.21 x Jupiter,1.814 AU,2.1 years,0.21,
958,Gas Giant,2018,1.615 Jupiters,1.21 x Jupiter,1.167 AU,400.5 days,0.07,
959,Neptune-like,2002,31.783 Earths,0.553 x Jupiter,0.06 AU,4.9 days,0.09,
960,Gas Giant,2005,1.636 Jupiters,1.2 x Jupiter,3.833 AU,6.7 years,0.27,
961,Gas Giant,2019,2.93 Jupiters,1.17 x Jupiter,9.02 AU,23.6 years,0.0,
962,Gas Giant,2002,4.954 Jupiters,1.15 x Jupiter,2.353 AU,3.5 years,0.5,
963,Neptune-like,2019,12.77 Earths,0.323 x Jupiter,0.1059 AU,14.1 days,0.09,
964,Neptune-like,2019,14.31 Earths,0.346 x Jupiter,0.3809 AU,95.9 days,0.14,
965,Gas Giant,2000,1.21 Jupiters,1.22 x Jupiter,0.52 AU,119.3 days,0.27,
966,Neptune-like,2021,7.8 Earths,0.219 x Jupiter,0.1202 AU,14.3 days,0.08,
967,Neptune-like,2021,18.4 Earths,0.401 x Jupiter,0.2416 AU,40.9 days,0.07,
968,Gas Giant,2007,1.556 Jupiters,1.21 x Jupiter,1.57 AU,1.7 years,0.09,
969,Gas Giant,2014,1.053 Jupiters,1.23 x Jupiter,1.93 AU,2.4 years,0.18,
970,Gas Giant,2018,3.87 Jupiters,1.16 x Jupiter,3.18 AU,5 years,0.71,
971,Gas Giant,2016,5.78 Jupiters,1.14 x Jupiter,0.53 AU,139.4 days,0.08,
972,Gas Giant,2012,1.681 Jupiters,1.2 x Jupiter,1.911 AU,2.1 years,0.06,
973,Gas Giant,2014,0.33 Jupiters,1.12 x Jupiter,1.2 AU,492.3 days,0.1,
974,Gas Giant,2011,7.63 Jupiters,1.13 x Jupiter,0.64 AU,177.1 days,0.07,
975,Gas Giant,2016,6.92 Jupiters,1.13 x Jupiter,1.086 AU,299.4 days,0.05,
976,Gas Giant,2020,6.5 Jupiters,1.13 x Jupiter,1.5 AU,495.4 days,0.27,
977,Gas Giant,2008,1.06 Jupiters,1.23 x Jupiter,0.77 AU,201.9 days,0.26,
978,Gas Giant,2008,2.51 Jupiters,1.18 x Jupiter,1.6 AU,1.6 years,0.03,
979,Gas Giant,2006,2.3 Jupiters,1.19 x Jupiter,1.64 AU,1.6 years,0.02,
980,Neptune-like,2020,5.27 Earths,2.15 x Earth,0.0719 AU,7.1 days,0.0,
981,Neptune-like,2020,7.61 Earths,0.238 x Jupiter,0.1458 AU,20.5 days,0.0,
982,Gas Giant,2005,0.25 Jupiters,1.098 x Jupiter,0.04 AU,2.8 days,0.0,
983,Gas Giant,2009,0.53 Jupiters,1.27 x Jupiter,0.94 AU,358 days,0.24,
984,Neptune-like,2021,10.8 Earths,0.267 x Jupiter,Unknown,9.1 days,0.0,
985,Neptune-like,2021,11.1 Earths,0.259 x Jupiter,Unknown,21.4 days,0.0,
986,Neptune-like,2019,17.8 Earths,0.393 x Jupiter,0.246 AU,45.8 days,0.12,
987,Gas Giant,2022,2.56 Jupiters,1.18 x Jupiter,1.51 AU,1.7 years,0.11,
988,Gas Giant,2003,0.49 Jupiters,1.27 x Jupiter,0.14 AU,22 days,0.17,
989,Gas Giant,2003,1.295 Jupiters,1.22 x Jupiter,1.301 AU,1.6 years,0.27,
990,Gas Giant,2013,2.03 Jupiters,1.19 x Jupiter,5.75 AU,14.7 years,0.17,
991,Gas Giant,2012,6 Jupiters,1.14 x Jupiter,1.2 AU,480.5 days,0.07,
992,Gas Giant,2005,3.204 Jupiters,1.17 x Jupiter,3.467 AU,6.2 years,0.49,
993,Gas Giant,2021,27 Jupiters,1.07 x Jupiter,23.0 AU,106.8 years,0.32,
994,Gas Giant,2015,3.06 Jupiters,1.17 x Jupiter,1.08 AU,352.2 days,0.17,
995,Gas Giant,2015,4.85 Jupiters,1.15 x Jupiter,3.86 AU,6.5 years,0.76,
996,Gas Giant,2009,1.68 Jupiters,1.2 x Jupiter,3.55 AU,6.8 years,0.1,
997,Gas Giant,2016,3.07 Jupiters,1.17 x Jupiter,2.18 AU,3 years,0.03,
998,Gas Giant,2001,1.97 Jupiters,1.2 x Jupiter,0.07 AU,6.3 days,0.12,
999,Gas Giant,2021,15 Jupiters,1.09 x Jupiter,13.2 AU,43.8 years,0.45,
1000,Gas Giant,2022,3.04 Jupiters,1.17 x Jupiter,2.482 AU,3.3 years,0.19,
1001,Neptune-like,2006,10.2 Earths,0.283 x Jupiter,0.0785 AU,8.7 days,0.1,
1002,Neptune-like,2006,11.8 Earths,0.309 x Jupiter,0.186 AU,31.6 days,0.13,
1003,Neptune-like,2006,18.1 Earths,0.397 x Jupiter,0.63 AU,197 days,0.07,
1004,Gas Giant,2007,6.1 Jupiters,1.14 x Jupiter,1.76 AU,2.3 years,0.4,
1005,Gas Giant,2003,1.993 Jupiters,1.19 x Jupiter,3.318 AU,5.8 years,0.18,
1006,Gas Giant,2011,0.27 Jupiters,0.993 x Jupiter,1.36 AU,1.7 years,0.19,
1007,Gas Giant,2018,1.768 Jupiters,1.2 x Jupiter,1.88 AU,2.4 years,0.12,
1008,Gas Giant,2002,3.85 Jupiters,1.16 x Jupiter,4.75 AU,10 years,0.22,
1009,Gas Giant,2016,5.45 Jupiters,1.14 x Jupiter,0.228 AU,39.5 days,0.42,
1010,Gas Giant,2008,3.097 Jupiters,1.17 x Jupiter,2.187 AU,3.4 years,0.23,
1011,Gas Giant,2002,3.08 Jupiters,1.17 x Jupiter,0.65 AU,188.3 days,0.19,
1012,Gas Giant,2005,2.25 Jupiters,1.19 x Jupiter,1.03 AU,379.1 days,0.28,
1013,Gas Giant,2008,1.112 Jupiters,1.23 x Jupiter,2.99 AU,4.8 years,0.13,
1014,Neptune-like,2022,10.2 Earths,0.249 x Jupiter,0.0604 AU,6.4 days,0.09,
1015,Super Earth,2022,9.7 Earths,0.213 x Jupiter,0.1242 AU,18.9 days,0.08,
1016,Gas Giant,2003,1.8 Jupiters,1.2 x Jupiter,0.292 AU,51.6 days,0.63,
1017,Gas Giant,2003,8.06 Jupiters,1.12 x Jupiter,3.85 AU,6.8 years,0.43,
1018,Gas Giant,2011,0.508 Jupiters,1.27 x Jupiter,2.38 AU,3.4 years,0.92,
1019,Gas Giant,1999,0.49 Jupiters,1.27 x Jupiter,0.05 AU,3.5 days,0.03,
1020,Gas Giant,2014,1 Jupiter,1.23 x Jupiter,1.032 AU,341.2 days,0.1,
1021,Gas Giant,2018,5.64 Jupiters,1.14 x Jupiter,8.4 AU,21.6 years,0.49,
1022,Gas Giant,2007,2.71 Jupiters,1.18 x Jupiter,1.191 AU,422.9 days,0.11,
1023,Gas Giant,2002,0.21 Jupiters,0.856 x Jupiter,0.05 AU,4 days,0.09,
1024,Gas Giant,2017,3.93 Jupiters,1.16 x Jupiter,1.149 AU,415.4 days,0.86,
1025,Neptune-like,2012,15.9 Earths,0.368 x Jupiter,0.06 AU,5.7 days,0.09,
1026,Gas Giant,2021,0.64 Jupiters,1.26 x Jupiter,0.9 AU,273.1 days,0.26,
1027,Neptune-like,2008,6.3566 Earths,0.214 x Jupiter,0.06 AU,5.4 days,0.06,
1028,Neptune-like,2015,7.86 Earths,0.243 x Jupiter,0.1134 AU,15.3 days,0.1,
1029,Neptune-like,2015,6.44 Earths,0.216 x Jupiter,0.1551 AU,24.5 days,0.21,
1030,Gas Giant,2011,1.34 Jupiters,1.22 x Jupiter,2.98 AU,5 years,0.58,
1031,Gas Giant,2001,4.38 Jupiters,1.07 x Jupiter,0.4565 AU,111.4 days,0.93,
1032,Super Earth,2020,5.6 Earths,1.613 x Earth,0.0166 AU,0.7 days,0.0,
1033,Gas Giant,2021,4.86 Jupiters,1.15 x Jupiter,2.878 AU,4.7 years,0.86,
1034,Gas Giant,2005,7.27 Jupiters,1.13 x Jupiter,1.94 AU,2.7 years,0.53,
1035,Gas Giant,2007,2.7 Jupiters,1.18 x Jupiter,0.81 AU,184 days,0.0,
1036,Gas Giant,2020,27.1 Jupiters,1.06 x Jupiter,3.3 AU,2.9 years,0.17,
1037,Gas Giant,2011,2.33 Jupiters,1.19 x Jupiter,1.58 AU,1.9 years,0.07,
1038,Gas Giant,2003,1.681 Jupiters,1.2 x Jupiter,1.18306 AU,441.5 days,0.16,
1039,Gas Giant,2003,1.959 Jupiters,1.2 x Jupiter,0.74345 AU,220.1 days,0.37,
1040,Gas Giant,2019,0.20955 Jupiters,0.855 x Jupiter,0.533 AU,159 days,0.2,
1041,Gas Giant,2002,0.34 Jupiters,1.14 x Jupiter,0.04 AU,3 days,0.01,
1042,Gas Giant,2010,0.68 Jupiters,1.25 x Jupiter,2.45 AU,3.6 years,0.15,
1043,Neptune-like,2009,31.46517 Earths,0.55 x Jupiter,1.373 AU,2.2 years,0.5,
1044,Super Earth,2011,3.6 Earths,1.72 x Earth,0.26 AU,58.4 days,0.11,
1045,Gas Giant,2002,2.03 Jupiters,1.19 x Jupiter,0.76 AU,227 days,0.3,
1046,Gas Giant,2006,1.48 Jupiters,1.21 x Jupiter,0.0346 AU,2.1 days,0.01,
1047,Gas Giant,2009,0.45 Jupiters,1.28 x Jupiter,2.73 AU,4.5 years,0.06,
1048,Super Earth,2020,7.25 Earths,2.16 x Earth,0.049 AU,4 days,0.08,
1049,Gas Giant,2009,7 Jupiters,1.13 x Jupiter,2.86 AU,4 years,0.7,
1050,Gas Giant,2009,14.2 Jupiters,1.1 x Jupiter,3.02 AU,4.5 years,0.72,
1051,Gas Giant,2016,3.6 Jupiters,1.16 x Jupiter,2.72 AU,3.5 years,0.17,
1052,Gas Giant,2016,12.4 Jupiters,1.1 x Jupiter,0.117 AU,13.5 days,0.05,
1053,Gas Giant,2009,1.54 Jupiters,1.21 x Jupiter,3.58 AU,7.5 years,0.53,
1054,Gas Giant,2004,1.02 Jupiters,1.23 x Jupiter,0.0479 AU,3.4 days,0.03,
1055,Gas Giant,2009,2.11 Jupiters,1.19 x Jupiter,3.27 AU,5.9 years,0.2,
1056,Neptune-like,2018,34.9613 Earths,0.66 x Jupiter,0.1066 AU,11.8 days,0.22,
1057,Gas Giant,1999,8.35 Jupiters,1.12 x Jupiter,0.917 AU,256.8 days,0.68,
1058,Neptune-like,2009,17.98 Earths,0.395 x Jupiter,0.25 AU,49.8 days,0.31,
1059,Gas Giant,2016,1.11 Jupiters,1.23 x Jupiter,2.2 AU,3.2 years,0.12,
1060,Gas Giant,2000,3.76 Jupiters,1.16 x Jupiter,0.97 AU,325.8 days,0.35,
1061,Gas Giant,2019,3.67 Jupiters,1.16 x Jupiter,10.5 AU,31.8 years,0.46,
1062,Gas Giant,2019,16.88 Jupiters,1.09 x Jupiter,9.62 AU,28.4 years,0.21,
1063,Gas Giant,2005,0.37 Jupiters,1.2 x Jupiter,0.477 AU,143.6 days,0.14,
1064,Super Earth,2021,4.2 Earths,1.88 x Earth,0.0756 AU,7.3 days,< 0.295,
1065,Neptune-like,2021,7.1 Earths,0.229 x Jupiter,0.112 AU,13.2 days,< 0.2,
1066,Neptune-like,2021,8.7 Earths,0.258 x Jupiter,0.2565 AU,45.9 days,0.09,
1067,Gas Giant,2009,0.7 Jupiters,1.25 x Jupiter,0.189 AU,30.1 days,0.2,
1068,Gas Giant,2009,1.82 Jupiters,1.2 x Jupiter,0.654 AU,192.9 days,0.06,
1069,Gas Giant,2018,1.26 Jupiters,1.22 x Jupiter,2.74 AU,4.3 years,0.14,
1070,Gas Giant,2013,5 Jupiters,1.15 x Jupiter,55.7 AU,328.8 years,0.0,
1071,Gas Giant,2009,1.26 Jupiters,1.22 x Jupiter,1.36 AU,464.4 days,0.12,
1072,Gas Giant,2018,3.45 Jupiters,1.17 x Jupiter,3.33 AU,4.9 years,0.28,
1073,Gas Giant,2015,10.63 Jupiters,1.11 x Jupiter,1.28 AU,482 days,0.11,
1074,Gas Giant,2020,0.13353 Jupiters,0.347 x Jupiter,0.262 AU,55.1 days,0.2,
1075,Gas Giant,2021,6.84 Jupiters,1.13 x Jupiter,3.386 AU,6 years,0.04,
1076,Neptune-like,2021,18.05265 Earths,0.396 x Jupiter,3.1 AU,8.7 years,0.14,
1077,Gas Giant,2015,3.74 Jupiters,1.16 x Jupiter,5.15 AU,12 years,0.06,
