id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
939,HD 43197 b,204,0.6 Jupiters,8.98,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6636/hd-43197-b/
940,HD 43691 b,279,2.55 Jupiters,8.03,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6637/hd-43691-b/
941,HD 44219 b,173,0.58 Jupiters,7.69,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6638/hd-44219-b/
942,HD 45184 b,72,12.19 Earths,6.383,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7314/hd-45184-b/
943,HD 45184 c,72,8.81 Earths,6.383,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7315/hd-45184-c/
944,HD 45350 b,153,1.79 Jupiters,7.89,2004,https://exoplanets.nasa.gov/exoplanet-catalog/6641/hd-45350-b/
945,HD 45364 b,112,0.1872 Jupiters,8.08,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6639/hd-45364-b/
946,HD 45364 c,112,0.6579 Jupiters,8.08,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6640/hd-45364-c/
947,HD 45652 b,114,0.433 Jupiters,8.1,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6642/hd-45652-b/
948,HD 46375 b,96,0.226 Jupiters,7.91,2000,https://exoplanets.nasa.gov/exoplanet-catalog/6643/hd-46375-b/
949,HD 47186 b,122,22.2481 Earths,7.63,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6644/hd-47186-b/
950,HD 47186 c,122,0.35061 Jupiters,7.63,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6645/hd-47186-c/
951,HD 4732 b,179,2.37 Jupiters,5.9,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6788/hd-4732-b/
952,HD 4732 c,179,2.37 Jupiters,5.9,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6789/hd-4732-c/
953,HD 47366 b,275,2.3 Jupiters,6.11151,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7275/hd-47366-b/
954,HD 47366 c,275,1.88 Jupiters,6.11151,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7276/hd-47366-c/
955,HD 47536 b,400,7.32 Jupiters,5.25,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6646/hd-47536-b/
956,HD 4760 b,1755,13.9 Jupiters,7.51,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7822/hd-4760-b/
957,HD 48265 b,295,1.525 Jupiters,8.05,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6647/hd-48265-b/
958,HD 4917 b,666,1.615 Jupiters,8.03,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7359/hd-4917-b/
959,HD 49674 b,140,31.783 Earths,8.1,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6648/hd-49674-b/
960,HD 50499 b,151,1.636 Jupiters,7.21,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6649/hd-50499-b/
961,HD 50499 c,151,2.93 Jupiters,7.21,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7344/hd-50499-c/
962,HD 50554 b,102,4.954 Jupiters,6.8561,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6650/hd-50554-b/
963,HD 51608 b,114,12.77 Earths,8.17,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7316/hd-51608-b/
964,HD 51608 c,114,14.31 Earths,8.17,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7317/hd-51608-c/
965,HD 52265 b,98,1.21 Jupiters,6.29351,2000,https://exoplanets.nasa.gov/exoplanet-catalog/6651/hd-52265-b/
966,HD 5278 b,188,7.8 Earths,7.94,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7851/hd-5278-b/
967,HD 5278 c,188,18.4 Earths,7.94,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7849/hd-5278-c/
968,HD 5319 b,396,1.556 Jupiters,8.05,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6790/hd-5319-b/
969,HD 5319 c,396,1.053 Jupiters,8.05,2014,https://exoplanets.nasa.gov/exoplanet-catalog/6791/hd-5319-c/
970,HD 55696 b,254,3.87 Jupiters,7.95,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7262/hd-55696-b/
971,HD 5583 b,715,5.78 Jupiters,7.604,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7024/hd-5583-b/
972,HD 5608 b,190,1.681 Jupiters,6.00272,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6792/hd-5608-b/
973,HD 564 b,167,0.33 Jupiters,8.32,2014,https://exoplanets.nasa.gov/exoplanet-catalog/6771/hd-564-b/
974,HD 5891 b,925,7.63 Jupiters,8.09,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6793/hd-5891-b/
975,HD 59686 A b,291,6.92 Jupiters,5.44299,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7223/hd-59686-a-b/
976,HD 60292 b,1028,6.5 Jupiters,6.94657,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7846/hd-60292-b/
977,HD 60532 b,85,1.06 Jupiters,4.44,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6652/hd-60532-b/
978,HD 60532 c,85,2.51 Jupiters,4.44,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6653/hd-60532-c/
979,HD 62509 b,34,2.3 Jupiters,1.12512,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6654/hd-62509-b/
980,HD 63433 b,73,5.27 Earths,6.92035,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7747/hd-63433-b/
981,HD 63433 c,73,7.61 Earths,6.92035,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7748/hd-63433-c/
982,HD 63454 b,123,0.25 Jupiters,9.37,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6655/hd-63454-b/
983,HD 63765 b,106,0.53 Jupiters,8.1,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6656/hd-63765-b/
984,HD 63935 b,160,10.8 Earths,8.58,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8008/hd-63935-b/
985,HD 63935 c,160,11.1 Earths,8.58,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8009/hd-63935-c/
986,HD 64114 b,103,17.8 Earths,7.71,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7379/hd-64114-b/
987,HD 64121 b,424,2.56 Jupiters,7.43,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8385/hd-64121-b/
988,HD 6434 b,138,0.49 Jupiters,7.72,2003,https://exoplanets.nasa.gov/exoplanet-catalog/6794/hd-6434-b/
989,HD 65216 b,115,1.295 Jupiters,7.97,2003,https://exoplanets.nasa.gov/exoplanet-catalog/6657/hd-65216-b/
990,HD 65216 c,115,2.03 Jupiters,7.97,2013,https://exoplanets.nasa.gov/exoplanet-catalog/6658/hd-65216-c/
991,HD 66141 b,222,6 Jupiters,4.37821,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6659/hd-66141-b/
992,HD 66428 b,174,3.204 Jupiters,8.25,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6660/hd-66428-b/
993,HD 66428 c,174,27 Jupiters,8.25,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7888/hd-66428-c/
994,HD 67087 b,250,3.06 Jupiters,8.05,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6661/hd-67087-b/
995,HD 67087 c,250,4.85 Jupiters,8.05,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6662/hd-67087-c/
996,HD 6718 b,167,1.68 Jupiters,8.45,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6795/hd-6718-b/
997,HD 68402 b,256,3.07 Jupiters,9.11,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7232/hd-68402-b/
998,HD 68988 b,198,1.97 Jupiters,8.2,2001,https://exoplanets.nasa.gov/exoplanet-catalog/6663/hd-68988-b/
999,HD 68988 c,198,15 Jupiters,8.2,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7889/hd-68988-c/
1000,HD 69123 b,245,3.04 Jupiters,5.77,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8386/hd-69123-b/
1001,HD 69830 b,41,10.2 Earths,5.96004,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6664/hd-69830-b/
1002,HD 69830 c,41,11.8 Earths,5.96004,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6665/hd-69830-c/
1003,HD 69830 d,41,18.1 Earths,5.96004,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6666/hd-69830-d/
1004,HD 70573 b,193,6.1 Jupiters,8.667,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6667/hd-70573-b/
1005,HD 70642 b,95,1.993 Jupiters,7.17,2003,https://exoplanets.nasa.gov/exoplanet-catalog/6668/hd-70642-b/
1006,HD 7199 b,118,0.27 Jupiters,8.06,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6796/hd-7199-b/
1007,HD 72490 b,412,1.768 Jupiters,7.82,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7356/hd-72490-b/
1008,HD 72659 b,169,3.85 Jupiters,7.46,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6669/hd-72659-b/
1009,HD 72892 b,227,5.45 Jupiters,8.83,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7233/hd-72892-b/
1010,HD 73267 b,164,3.097 Jupiters,8.9,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6670/hd-73267-b/
1011,HD 73526 b,317,3.08 Jupiters,8.99,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6671/hd-73526-b/
1012,HD 73526 c,317,2.25 Jupiters,8.99,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6672/hd-73526-c/
1013,HD 73534 b,272,1.112 Jupiters,8.23,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6673/hd-73534-b/
1014,HD 73583 b,103,10.2 Earths,9.67,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8465/hd-73583-b/
1015,HD 73583 c,103,9.7 Earths,9.67,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8466/hd-73583-c/
1016,HD 74156 b,188,1.8 Jupiters,7.61,2003,https://exoplanets.nasa.gov/exoplanet-catalog/6674/hd-74156-b/
1017,HD 74156 c,188,8.06 Jupiters,7.61,2003,https://exoplanets.nasa.gov/exoplanet-catalog/6675/hd-74156-c/
1018,HD 7449 b,126,0.508 Jupiters,7.5,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6797/hd-7449-b/
1019,HD 75289 b,95,0.49 Jupiters,6.35,1999,https://exoplanets.nasa.gov/exoplanet-catalog/6676/hd-75289-b/
1020,HD 75784 b,279,1 Jupiter,7.84,2014,https://exoplanets.nasa.gov/exoplanet-catalog/6677/hd-75784-b/
1021,HD 75784 c,279,5.64 Jupiters,7.84,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7270/hd-75784-c/
1022,HD 75898 b,255,2.71 Jupiters,8.03,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6678/hd-75898-b/
1023,HD 76700 b,199,0.21 Jupiters,8.16,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6679/hd-76700-b/
1024,HD 76920 b,600,3.93 Jupiters,7.83,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7193/hd-76920-b/
1025,HD 77338 b,150,15.9 Earths,8.63,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6680/hd-77338-b/
1026,HD 79181 b,337,0.64 Jupiters,5.72,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8364/hd-79181-b/
1027,HD 7924 b,55,6.3566 Earths,7.17896,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6798/hd-7924-b/
1028,HD 7924 c,55,7.86 Earths,7.17896,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6799/hd-7924-c/
1029,HD 7924 d,55,6.44 Earths,7.17896,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6800/hd-7924-d/
1030,HD 79498 b,160,1.34 Jupiters,8.05,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6681/hd-79498-b/
1031,HD 80606 b,217,4.38 Jupiters,9.06,2001,https://exoplanets.nasa.gov/exoplanet-catalog/6682/hd-80606-b/
1032,HD 80653 b,358,5.6 Earths,9.452,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7555/hd-80653-b/
1033,HD 80869 b,279,4.86 Jupiters,8.48,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7923/hd-80869-b/
1034,HD 81040 b,112,7.27 Jupiters,7.72,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6683/hd-81040-b/
1035,HD 81688 b,280,2.7 Jupiters,5.39755,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6684/hd-81688-b/
1036,HD 81817 b,878,27.1 Jupiters,4.26489,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7631/hd-81817-b/
1037,HD 82886 b,414,2.33 Jupiters,7.62,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6687/hd-82886-b/
1038,HD 82943 b,90,1.681 Jupiters,6.54993,2003,https://exoplanets.nasa.gov/exoplanet-catalog/6685/hd-82943-b/
1039,HD 82943 c,90,1.959 Jupiters,6.54993,2003,https://exoplanets.nasa.gov/exoplanet-catalog/6686/hd-82943-c/
1040,HD 8326 b,100,0.20955 Jupiters,8.76,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7380/hd-8326-b/
1041,HD 83443 b,133,0.34 Jupiters,8.23,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6688/hd-83443-b/
1042,HD 8535 b,181,0.68 Jupiters,7.7,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6801/hd-8535-b/
1043,HD 85390 b,109,31.46517 Earths,8.54,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6689/hd-85390-b/
1044,HD 85512 b,37,3.6 Earths,7.67,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6690/hd-85512-b/
1045,HD 8574 b,146,2.03 Jupiters,7.12,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6802/hd-8574-b/
1046,HD 86081 b,339,1.48 Jupiters,8.73,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6691/hd-86081-b/
1047,HD 86226 b,149,0.45 Jupiters,7.93,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6692/hd-86226-b/
1048,HD 86226 c,149,7.25 Earths,7.93,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7665/hd-86226-c/
1049,HD 86264 b,221,7 Jupiters,7.41,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6693/hd-86264-b/
1050,HD 8673 b,124,14.2 Jupiters,6.331,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6803/hd-8673-b/
1051,HD 86950 b,684,3.6 Jupiters,7.47,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7248/hd-86950-b/
1052,HD 87646 b,240,12.4 Jupiters,8.07,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7242/hd-87646-b/
1053,HD 87883 b,60,1.54 Jupiters,7.56,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6694/hd-87883-b/
1054,HD 88133 b,240,1.02 Jupiters,8.01852,2004,https://exoplanets.nasa.gov/exoplanet-catalog/6695/hd-88133-b/
1055,HD 89307 b,104,2.11 Jupiters,7.02569,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6696/hd-89307-b/
1056,HD 89345 b,432,34.9613 Earths,9.38,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7278/hd-89345-b/
1057,HD 89744 b,126,8.35 Jupiters,5.73469,1999,https://exoplanets.nasa.gov/exoplanet-catalog/6697/hd-89744-b/
1058,HD 90156 b,72,17.98 Earths,6.92,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6698/hd-90156-b/
1059,HD 9174 b,266,1.11 Jupiters,8.4,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7231/hd-9174-b/
1060,HD 92788 b,113,3.76 Jupiters,7.31637,2000,https://exoplanets.nasa.gov/exoplanet-catalog/6699/hd-92788-b/
1061,HD 92788 c,113,3.67 Jupiters,7.31637,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7345/hd-92788-c/
1062,HD 92987 b,142,16.88 Jupiters,7.03,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7343/hd-92987-b/
1063,HD 93083 b,93,0.37 Jupiters,8.3,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6700/hd-93083-b/
1064,HD 93385 b,141,4.2 Earths,7.49,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8031/hd-93385-b/
1065,HD 93385 c,141,7.1 Earths,7.49,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8032/hd-93385-c/
1066,HD 93385 d,141,8.7 Earths,7.49,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8033/hd-93385-d/
1067,HD 9446 b,164,0.7 Jupiters,8.35,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6804/hd-9446-b/
1068,HD 9446 c,164,1.82 Jupiters,8.35,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6805/hd-9446-c/
1069,HD 94834 b,320,1.26 Jupiters,7.6,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7357/hd-94834-b/
1070,HD 95086 b,281,5 Jupiters,7.36,2013,https://exoplanets.nasa.gov/exoplanet-catalog/6701/hd-95086-b/
1071,HD 95089 b,447,1.26 Jupiters,7.92,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6702/hd-95089-b/
1072,HD 95089 c,447,3.45 Jupiters,7.92,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7293/hd-95089-c/
1073,HD 95127 b,2207,10.63 Jupiters,8.15,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6703/hd-95127-b/
1074,HD 95338 b,121,0.13353 Jupiters,8.62,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7652/hd-95338-b/
1075,HD 95544 b,286,6.84 Jupiters,8.39,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7924/hd-95544-b/
1076,HD 95735 c,19,18.05265 Earths,7.49,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7890/hd-95735-c/
1077,HD 95872 b,236,3.74 Jupiters,9.955,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7022/hd-95872-b/
1078,HD 96063 b,457,1.27 Jupiters,8.21,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6704/hd-96063-b/
1079,HD 96127 b,1917,20.96 Jupiters,7.40521,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6706/hd-96127-b/
1080,HD 96167 b,278,0.717 Jupiters,8.09,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6705/hd-96167-b/
1081,HD 96700 b,83,8.9 Earths,6.51,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8034/hd-96700-b/
1082,HD 96700 c,83,3.5 Earths,6.51,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8035/hd-96700-c/
1083,HD 96700 d,83,12.7 Earths,6.51,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8036/hd-96700-d/
1084,HD 96992 b,1292,1.14 Jupiters,8.57,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7823/hd-96992-b/
1085,HD 97048 b,600,2.5 Jupiters,8.44,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7503/hd-97048-b/
1086,HD 97658 b,70,8.3 Earths,7.76,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6707/hd-97658-b/
1087,HD 98219 b,371,1.964 Jupiters,8.05,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6708/hd-98219-b/
1088,HD 98649 b,138,6.79 Jupiters,8,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6709/hd-98649-b/
1089,HD 98736 b,106,2.33 Jupiters,7.93,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7263/hd-98736-b/
1090,HD 99109 b,179,0.44 Jupiters,9.1,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6710/hd-99109-b/
1091,HD 99283 b,362,0.97 Jupiters,5.72916,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8365/hd-99283-b/
1092,HD 99492 b,59,22.2481 Earths,7.56727,2004,https://exoplanets.nasa.gov/exoplanet-catalog/6711/hd-99492-b/
1093,HD 99706 b,478,1.23 Jupiters,7.65,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6712/hd-99706-b/
1094,HD 99706 c,478,5.69 Jupiters,7.65,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7294/hd-99706-c/
1095,HIP 105854 b,257,8.2 Jupiters,5.64,2014,https://exoplanets.nasa.gov/exoplanet-catalog/6911/hip-105854-b/
1096,HIP 107772 b,77,12.9 Earths,10.56,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7677/hip-107772-b/
1097,HIP 107773 b,343,1.98 Jupiters,5.62,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7124/hip-107773-b/
1098,HIP 109384 b,192,1.56 Jupiters,9.61,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7113/hip-109384-b/
1099,HIP 109600 b,216,2.68 Jupiters,9.18,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7111/hip-109600-b/
1100,HIP 114933 b,332,1.94 Jupiters,7.25,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7859/hip-114933-b/
1101,HIP 116454 b,204,12.7132 Earths,10.19,2014,https://exoplanets.nasa.gov/exoplanet-catalog/6912/hip-116454-b/
1102,HIP 12961 b,76,0.36 Jupiters,10.25,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6857/hip-12961-b/
1103,HIP 14810 b,165,3.9 Jupiters,8.520001,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6858/hip-14810-b/
1104,HIP 14810 c,165,1.31 Jupiters,8.520001,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6859/hip-14810-c/
1105,HIP 14810 d,165,0.59 Jupiters,8.520001,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6860/hip-14810-d/
1106,HIP 34222 b,74,0.83 Jupiters,10.14,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8371/hip-34222-b/
1107,HIP 35173 b,108,12.7 Earths,9.01,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7374/hip-35173-b/
1108,HIP 38594 b,58,8.1 Earths,9.75,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7678/hip-38594-b/
1109,HIP 38594 c,58,0.15228 Jupiters,9.75,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7679/hip-38594-c/
1110,HIP 41378 b,347,8.75 Earths,8.93,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7161/hip-41378-b/
1111,HIP 41378 c,347,7.08 Earths,8.93,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7162/hip-41378-c/
1112,HIP 41378 d,347,14.9 Earths,8.93,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7163/hip-41378-d/
1113,HIP 41378 e,347,26 Earths,8.93,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7172/hip-41378-e/
1114,HIP 41378 f,347,0.233 Jupiters,8.93,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7173/hip-41378-f/
1115,HIP 4845 b,69,14.4 Earths,10.06,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7680/hip-4845-b/
1116,HIP 48714 b,34,22.9 Earths,8.99,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7681/hip-48714-b/
1117,HIP 5158 b,168,1.42 Jupiters,10.16,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6855/hip-5158-b/
1118,HIP 5158 c,168,15.04 Jupiters,10.16,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6856/hip-5158-c/
1119,HIP 54373 b,61,8.62 Earths,10.38,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7381/hip-54373-b/
1120,HIP 54373 c,61,12.44 Earths,10.38,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7382/hip-54373-c/
1121,HIP 56640 b,399,3.67 Jupiters,7.94,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7858/hip-56640-b/
1122,HIP 57274 b,84,6.3566 Earths,8.97,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6862/hip-57274-b/
1123,HIP 57274 c,84,0.40902 Jupiters,8.97,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6863/hip-57274-c/
1124,HIP 57274 d,84,0.5267 Jupiters,8.97,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6864/hip-57274-d/
1125,HIP 5763 b,104,0.51 Jupiters,9.82,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8370/hip-5763-b/
1126,HIP 63242 b,510,9.18 Jupiters,6.86,2013,https://exoplanets.nasa.gov/exoplanet-catalog/6866/hip-63242-b/
1127,HIP 65407 b,202,0.428 Jupiters,9.38,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7116/hip-65407-b/
1128,HIP 65407 c,202,0.784 Jupiters,9.38,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7117/hip-65407-c/
1129,HIP 65426 b,355,9 Jupiters,7.01,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7220/hip-65426-b/
1130,HIP 65891 b,490,6 Jupiters,6.75,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7123/hip-65891-b/
1131,HIP 65 A b,202,3.213 Jupiters,11,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7661/hip-65-a-b/
1132,HIP 67522 b,415,0.228 Jupiters,9.79,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7659/hip-67522-b/
1133,HIP 67537 b,379,11.1 Jupiters,6.43,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7216/hip-67537-b/
1134,HIP 67851 b,209,1.38 Jupiters,6.17,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6867/hip-67851-b/
1135,HIP 67851 c,209,6.3 Jupiters,6.17,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6868/hip-67851-c/
1136,HIP 70849 b,78,9 Jupiters,10.421,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6869/hip-70849-b/
1137,HIP 71135 b,105,18.8 Earths,10.53,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7384/hip-71135-b/
1138,HIP 74890 b,257,2.4 Jupiters,7.05,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7027/hip-74890-b/
1139,HIP 75056 A b,408,25 Jupiters,7.78,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8361/hip-75056-a-b/
1140,HIP 75092 b,266,1.79 Jupiters,7.11,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7857/hip-75092-b/
1141,HIP 78530 b,446,23 Jupiters,7.1691,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6907/hip-78530-b/
1142,HIP 79098 AB b,476,20.5 Jupiters,5.86,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7429/hip-79098-ab-b/
1143,HIP 79431 b,47,2.1 Jupiters,11.394,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6908/hip-79431-b/
1144,HIP 8541 b,506,5.5 Jupiters,7.88,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7026/hip-8541-b/
1145,HIP 86221 b,96,0.71 Jupiters,9.25,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8372/hip-86221-b/
1146,HIP 90988 b,307,1.96 Jupiters,7.75,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7862/hip-90988-b/
1147,HIP 91258 b,150,1.09 Jupiters,8.65,2013,https://exoplanets.nasa.gov/exoplanet-catalog/6909/hip-91258-b/
